name,role,direction,receiver,year,file,n_sent,high_def_ratio,subj_hon_ratio,question_ratio,end_da_ratio,avg_sent_len
임영,아들,상향,임천조씨,1682년,HXRW2420000001.xml,30,0.1333,0.1667,0.1667,0.0667,15.533
임영,아들,상향,임천조씨,1682년,HXRW2420000001.xml,23,0.1304,0.1304,0.087,0.1304,16.957
임영,남동생,상향,나주임씨,1683년,HXRW2420000001.xml,32,0.0,0.0938,0.1562,0.0,17.906
임영,남동생,상향,나주임씨,1684년,HXRW2420000001.xml,40,0.0,0.125,0.125,0.0,15.55
임영,남동생,상향,나주임씨,1685년,HXRW2420000001.xml,29,0.0,0.1034,0.2069,0.0,17.207
임영,남동생,상향,나주임씨,1683~1686년,HXRW2420000001.xml,32,0.0,0.0938,0.1875,0.0,16.125
임영,남동생,상향,나주임씨,1691년,HXRW2420000001.xml,15,0.0,0.2,0.0667,0.0,11.467
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,9,0.0,0.1111,0.0,0.0,13.222
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,45,0.0,0.1778,0.3556,0.0,19.467
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,42,0.0,0.2619,0.1667,0.0,15.976
임영,남동생,상향,나주임씨,1683~1686년,HXRW2420000001.xml,33,0.0,0.0606,0.1212,0.0,17.152
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,44,0.0,0.1591,0.0909,0.0227,14.909
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,32,0.0,0.25,0.125,0.0,17.094
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,31,0.0,0.0645,0.1935,0.0,16.129
임영,남동생,상향,나주임씨,1683~1686년,HXRW2420000001.xml,18,0.0,0.1111,0.1111,0.0,15.444
임영,남동생,상향,나주임씨,1649~1696년,HXRW2420000001.xml,13,0.0,0.0,0.0769,0.0,21.0
임영,남동생,상향,나주임씨,1683~1686년,HXRW2420000001.xml,61,0.0,0.1639,0.1475,0.0,17.41
임영,삼촌,하향,미상,1649~1696년,HXRW2420000001.xml,15,0.0,0.2,0.0,0.0,22.2
임일유,아버지,하향,나주임씨,1611~1683년,HXRW2420000002.xml,10,0.0,0.0,0.0,0.1,7.8
임일유,아버지,하향,나주임씨,1611~1683년,HXRW2420000002.xml,14,0.0,0.0714,0.0714,0.0714,11.5
임일유,아버지,하향,나주임씨,1611~1683년,HXRW2420000002.xml,13,0.0,0.3077,0.0,0.0769,13.308
