unit_id,label,register,period,source,n_sentences,avg_sent_len,std_sent_len,avg_word_len,ttr_word,ttr_char,hanja_ratio,hangul_ratio,punct_ratio,hanja_sent_ratio,end_da_ratio,end_ra_ratio,end_ni_ratio,question_ratio,honorific_ratio,cluster
letter:임영(아들),임영(아들),letter,historical,HXRW2420000001.xml,53.0,16.151,5.826,3.523,0.877,0.241,0.0,0.6297,0.0,0.0,0.094,0.0,0.226,0.057,0.0,0
letter:임영(남동생),임영(남동생),letter,historical,HXRW2420000001.xml,476.0,16.66,6.568,3.116,0.631,0.064,0.0,0.6612,0.0406,0.0,0.002,0.006,0.195,0.04,0.0,2
letter:임영(삼촌),임영(삼촌),letter,historical,HXRW2420000001.xml,15.0,22.2,10.114,3.297,0.921,0.378,0.0,0.6456,0.0,0.0,0.0,0.267,0.4,0.0,0.067,0
letter:임일유(아버지),임일유(아버지),letter,historical,HXRW2420000002.xml,77.0,12.506,7.596,3.028,0.761,0.222,0.0,0.7082,0.0145,0.0,0.078,0.221,0.117,0.0,0.0,2
letter:송준길(시할아버지),송준길(시할아버지),letter,historical,HXRW2420000004.xml,26.0,10.0,6.616,2.921,0.899,0.5,0.0,0.7154,0.0077,0.0,0.0,0.0,0.115,0.0,0.0,2
letter:정경세(아버지),정경세(아버지),letter,historical,HXRW2420000004.xml,12.0,12.583,8.741,3.082,1.0,0.636,0.0,0.7682,0.0132,0.0,0.083,0.333,0.0,0.0,0.0,2
letter:진성이씨(장모),진성이씨(장모),letter,historical,HXRW2420000004.xml,26.0,13.962,6.762,3.241,0.884,0.402,0.0,0.6584,0.0055,0.0,0.077,0.0,0.269,0.038,0.0,2
letter:진성이씨(어머니),진성이씨(어머니),letter,historical,HXRW2420000004.xml,53.0,15.113,7.275,3.191,0.869,0.231,0.0,0.6941,0.0,0.0,0.057,0.283,0.17,0.0,0.0,2
letter:송준길(남편),송준길(남편),letter,historical,HXRW2420000004.xml,30.0,12.433,6.375,3.083,0.942,0.399,0.0,0.6783,0.0054,0.0,0.0,0.0,0.2,0.0,0.0,2
letter:초계정씨(시할머니),초계정씨(시할머니),letter,historical,HXRW2420000004.xml,23.0,15.87,6.195,2.992,0.934,0.37,0.0,0.6192,0.0137,0.0,0.0,0.304,0.13,0.043,0.043,2
letter:배천조씨(어머니),배천조씨(어머니),letter,historical,HXRW2420000004.xml,40.0,11.925,5.892,3.138,0.836,0.31,0.0,0.7212,0.0,0.0,0.05,0.4,0.1,0.025,0.0,2
